#time,s ray1,V ray2,V
#
1.095999999999999942e-04 3.496146500000000407e-02 3.642828999999999512e-02
1.103999999999999730e-04 3.533075499999999841e-02 3.728458500000000203e-02
1.112000000000000060e-04 3.566482999999999459e-02 3.746900499999999273e-02
1.119999999999999983e-04 3.531303000000000220e-02 3.803974999999999718e-02
1.127999999999999771e-04 3.514161499999999411e-02 3.765331999999999707e-02
1.136000000000000237e-04 3.493945999999999857e-02 3.610773500000000885e-02
1.144000000000000024e-04 3.504939000000001359e-02 3.674879000000001034e-02
1.151999999999999812e-04 3.574843000000000465e-02 3.774994000000000266e-02
1.160000000000000007e-04 3.586269499999999305e-02 3.681472000000000910e-02
1.168000000000000066e-04 3.522083499999999895e-02 3.652052999999999550e-02
1.175999999999999854e-04 3.489558999999999717e-02 3.661265500000000089e-02
1.184000000000000048e-04 3.494397000000000475e-02 3.605047500000000543e-02
1.192000000000000107e-04 3.538360000000000116e-02 3.668278500000000941e-02
1.199999999999999895e-04 3.626732500000000303e-02 3.778935500000000364e-02
1.207999999999999818e-04 3.591562000000000227e-02 3.677504500000000620e-02
1.215999999999999877e-04 3.491312000000000582e-02 3.599353000000000968e-02
1.223999999999999936e-04 3.475475500000001217e-02 3.630535000000000012e-02
1.231999999999999860e-04 3.510645500000000169e-02 3.623948000000000447e-02
1.240000000000000054e-04 3.536147000000000595e-02 3.702544000000000668e-02
1.247999999999999977e-04 3.573087499999999528e-02 3.756990500000000066e-02
1.255999999999999901e-04 3.559459999999999014e-02 3.620870499999999381e-02
1.264000000000000095e-04 3.487788500000000430e-02 3.578281500000000254e-02
1.271999999999999748e-04 3.503616000000000369e-02 3.672692000000000317e-02
1.279999999999999942e-04 3.557700499999999488e-02 3.688498999999999944e-02
1.288000000000000137e-04 3.572652999999999940e-02 3.729771500000000212e-02
1.295999999999999789e-04 3.584951999999999583e-02 3.725815500000000113e-02
1.303999999999999712e-04 3.522951999999999334e-02 3.610772500000000024e-02
1.312000000000000178e-04 3.442496500000000875e-02 3.593646499999999383e-02
1.319999999999999830e-04 3.508888500000000715e-02 3.710439999999999572e-02
1.327999999999999754e-04 3.591111000000000303e-02 3.695506999999999265e-02
1.336000000000000219e-04 3.570883500000000127e-02 3.655553500000000011e-02
1.343999999999999871e-04 3.529996000000000522e-02 3.699910000000000004e-02
1.351999999999999795e-04 3.471529500000000018e-02 3.618229500000000320e-02
